created_at,week_start_utc,month_utc,song,project_id,provider,stage,model,cost_usd,duration_ms,error
2026-04-14T05:30:39+00:00,2026-04-13,2026-04,Vigneswaraaya,6ccf5b1f-383f-47b6-a233-88860f8102c8,google,visualize-style,gemini-3-pro-image-preview,0.01,24550,
2026-04-14T05:30:49+00:00,2026-04-13,2026-04,Vigneswaraaya,6ccf5b1f-383f-47b6-a233-88860f8102c8,google,visualize-style,gemini-3-pro-image-preview,0.01,23995,
2026-04-14T05:32:38+00:00,2026-04-13,2026-04,Vigneswaraaya,6ccf5b1f-383f-47b6-a233-88860f8102c8,google,visualize-style,gemini-3-pro-image-preview,0.01,24922,
2026-04-14T05:40:42+00:00,2026-04-13,2026-04,Vigneswaraaya,6ccf5b1f-383f-47b6-a233-88860f8102c8,google,generate-looks,gemini-3-pro-image-preview,0.04,30334,
2026-04-14T05:40:42+00:00,2026-04-13,2026-04,Vigneswaraaya,6ccf5b1f-383f-47b6-a233-88860f8102c8,google,generate-looks,gemini-3-pro-image-preview,0.04,31037,
2026-04-14T05:40:42+00:00,2026-04-13,2026-04,Vigneswaraaya,6ccf5b1f-383f-47b6-a233-88860f8102c8,google,generate-looks,gemini-3-pro-image-preview,0.04,30386,
2026-04-14T05:42:50+00:00,2026-04-13,2026-04,Vigneswaraaya,6ccf5b1f-383f-47b6-a233-88860f8102c8,google,generate-looks,gemini-3-pro-image-preview,0.04,27139,
2026-04-14T05:44:49+00:00,2026-04-13,2026-04,Vigneswaraaya,6ccf5b1f-383f-47b6-a233-88860f8102c8,google,generate-environment-look,gemini-3-pro-image-preview,0.04,27809,
2026-04-14T05:44:54+00:00,2026-04-13,2026-04,Vigneswaraaya,6ccf5b1f-383f-47b6-a233-88860f8102c8,google,generate-environment-look,gemini-3-pro-image-preview,0.04,27554,
2026-04-14T05:44:56+00:00,2026-04-13,2026-04,Vigneswaraaya,6ccf5b1f-383f-47b6-a233-88860f8102c8,google,generate-environment-look,gemini-3-pro-image-preview,0.04,27750,
2026-04-14T05:47:48+00:00,2026-04-13,2026-04,Vigneswaraaya,6ccf5b1f-383f-47b6-a233-88860f8102c8,google,generate-environment-look,gemini-3-pro-image-preview,0.04,24239,
2026-04-14T05:48:24+00:00,2026-04-13,2026-04,Vigneswaraaya,6ccf5b1f-383f-47b6-a233-88860f8102c8,google,generate-environment-look,gemini-3-pro-image-preview,0.04,25282,
2026-04-14T05:55:37+00:00,2026-04-13,2026-04,Vigneswaraaya,6ccf5b1f-383f-47b6-a233-88860f8102c8,google,generate-shot-start-frame,gemini-3-pro-image-preview,0.04,30764,
2026-04-14T05:56:47+00:00,2026-04-13,2026-04,Vigneswaraaya,6ccf5b1f-383f-47b6-a233-88860f8102c8,segmind,generate-shot-video,veo-3.1-fast-generate-preview,0.8,53075,
2026-04-14T05:59:58+00:00,2026-04-13,2026-04,Vigneswaraaya,6ccf5b1f-383f-47b6-a233-88860f8102c8,google,generate-shot-start-frame,gemini-3-pro-image-preview,0.04,25205,
2026-04-14T06:01:59+00:00,2026-04-13,2026-04,Vigneswaraaya,6ccf5b1f-383f-47b6-a233-88860f8102c8,segmind,generate-shot-video,veo-3.1-fast-generate-preview,0.8,58962,
